word,coef
signed,5.233052114434768
declared,4.014040775876416
agreed,3.6053978498402173
announced,3.133134772024338
unilateral,2.392727575779161
days,2.248981829653094
effect,2.221558464110534
brokered,2.1823093878952324
January,2.0162890589723084
fighters,1.7786681116308667
Tuesday,1.73783652066513
Wednesday,1.7261045726580846
last,1.6724001744098311
December,1.6670455575849084
accepted,1.66529317107914
month,1.6516901382379878
extended,1.6154706289760126
declaring,1.6022269417395703
February,1.5904172413926667
November,1.5889777265093834
reached,1.5801386880887547
18,1.4725237415053622
Sunday,1.398163593658741
27,1.389479085327259
Liberia,1.3723564849668846
12,1.3569756028422435
extend,1.2281460815672622
in,1.227565239719703
after,1.2264087154476815
Christmas,1.2134167507997482
themselves,1.2113829207116502
Pakistan,1.2014628425911043
Front,1.1858187876324615
Central,1.1857942580534153
India,1.1843536814772713
May,1.176451908211995
yesterday,1.1706362715544694
Monday,1.1697648722109892
20,1.158044892283007
Liberian,1.156868628810128
took,1.1473608489601408
capital,1.1087891988884737
Charles,1.107383152223294
Friday,1.1044568360927
government,1.0933416658699013
Kabbah,1.0913263967276172
tense,1.0835958690028806
communities,1.079945376883567
Lissouba,1.0736898666464492
officially,1.064217910049241
guerrillas,1.0620411010820274
morning,1.0392585843292192
through,1.0355575235401102
five,1.029452185801826
decided,1.0204322773908685
By,1.014808800627803
ordered,1.000971816363877
reciprocated,0.9953160914495184
Army,0.9941885843436237
July,0.9929636558629374
concluded,0.9895871914967107
25,0.9886384551562487
extension,0.9883642834134508
allow,0.9833390343078704
Kenya,0.9812825223876256
Manuel,0.980786311764661
settled,0.9798405173873311
temporary,0.9770992521356128
GMT,0.9680424645713591
where,0.9679734100216102
factions,0.9638712847911597
2011,0.9626656727400995
into,0.9617846763707395
June,0.9544868993758354
abide,0.9531521671101398
Guinea,0.952540880531271
Zapatistas,0.9494665257055028
monitored,0.9487243750310046
rebels,0.9476137566042764
Saturday,0.9433369200043955
holding,0.9432876912460011
today,0.940229362202776
indefinite,0.9312120780102261
Though,0.9284645066683854
Muslim,0.9153978938031696
Laurent,0.9085633514858504
avoid,0.9015141709534061
Sahara,0.8943138927550787
order,0.8905672750186122
managed,0.8886136139430346
observe,0.8861236200978437
Abuja,0.8852193197308154
mutineers,0.8770663976976634
faction,0.8739236412076264
announcement,0.8707731596401689
Mandera,0.8702445042210791
torturous,0.8647028421573602
resumed,0.8600322771065152
communique,0.858694608053262
Democracy,0.854989799252982
Liberians,0.8515592347720281
deaths,0.8493204795863813
on,0.8485268736461387
Liberation,0.8451947475322854
until,0.8431487430186106
reports,0.8399040743922364
Ijaw,0.833076711924931
indefinitely,0.8327723793915727
noon,0.8304797228898725
expire,0.8301778620637488
greater,0.8286651748635142
Sierra,0.8265083616598565
Armed,0.8250690229099268
Bangui,0.8230372882500221
Thursday,0.8186246232918037
surrender,0.8173999493885673
Juan,0.817088892351154
hours,0.8133990058225689
militias,0.8133530944962146
media,0.8124289444843018
Sept,0.8103821400887237
Gabon,0.8081212488277734
came,0.8072438534097093
Portuguese,0.8057815883864459
trapped,0.8027084507245159
145,0.8023348802305934
demonstrated,0.7995442861414144
agreement,0.7995340735123614
Marxist,0.7984754874189073
effective,0.7982591096725995
Ramadan,0.7868019510278347
weeks,0.7832409541032723
Nicaraguan,0.782934262137305
follows,0.7796726451587009
two,0.7738076569001109
Aceh,0.7688692362712923
prepare,0.764680820988106
election,0.7634617227604511
group,0.747670914298689
Senegal,0.7444564804606082
prime,0.7432656142394221
Tejan,0.7408204470766091
news,0.7370974970616728
four,0.730121471921683
northern,0.7280869381552277
March,0.7280578998490072
Eldoret,0.7273434232103617
Shan,0.7267106172648485
Santos,0.7253936204269833
limited,0.7250598321934079
Eventually,0.7246395316255884
Last,0.7224466896369214
In,0.7219031573042082
48,0.7214630546458104
recently,0.7195356842072406
message,0.7186876707695132
Resistance,0.7175343777998386
Today,0.7116934755660146
Niger,0.7108568062514009
Kurdish,0.7072414092653385
session,0.7048395490307346
step,0.7047011872749852
facto,0.703943596270276
eight,0.7025676966699085
Nigerian,0.7023292503208975
official,0.7015900622004185
Chadian,0.7007693832060539
southern,0.696845907192568
deal,0.6957788990505019
system,0.6954287480165835
actions,0.695396743262942
implement,0.69457061332135
mediation,0.6925374620730181
amnesty,0.6912161754991533
rebellion,0.6909177427599497
evening,0.6900995139240343
following,0.6857592155112243
province,0.6853397024062109
London,0.6832261905607371
since,0.6830306081558314
generals,0.6820582590581638
Toure,0.6819546767843557
Lord,0.6786497583268166
continued,0.6779089219666683
Guatemalan,0.6751039608739844
day,0.6744870128049211
calm,0.6740808552131881
September,0.6730050566850058
Seleka,0.6723445538503685
1999,0.6683613362894681
landmark,0.6676499806862645
reaffirmed,0.6672858655881354
Although,0.6637691888279447
LRA,0.6609174588664234
counter,0.6594727131182241
Myanmar,0.6588867850498041
Rebels,0.6586673184261544
midday,0.6581059218744324
